datetime,epoch,ghost_index,ghost_type,dist_ghost_pips,atr,body_atr,upper_wick_atr,lower_wick_atr,rsi,close_ret1_atr,close_ret5_atr,close_ret15_atr,vol,vol_ema9,vol_ratio,dist_sh5_above,dist_sl5_below,n_sh5_near,n_sl5_near,dist_sh10_above,dist_sl10_below,dist_bsl_above,dist_ssl_below,dist_bos_above,dist_bos_below,dist_fvg_above,dist_fvg_below,dist_ob_above,dist_ob_below,dist_fib_pips,zz_high_dist_pips,zz_low_dist_pips,traces_3m,traces_5m,traces_10m,traces_15m
2026-07-08T23:47:00-05:00,1783572420,7995,1.0000,62.0000,10.3885,0.3369,0.1444,0.4091,62.46,0.4813,0.7460,0.8182,25.00,91.76,0.2725,5,2,20.00,136.00,14.00,108.00,2.00,0.00,6.00,8.00,3.50,6.00,38.00,0.00,273,196,2000,3,5,10,15
2026-07-09T00:26:00-05:00,1783574760,8040,1.0000,-161.0000,13.5158,0.4069,0.0740,0.0925,42.99,0.3329,-0.5179,-4.1618,89.00,104.72,0.8499,3,3,31.00,5.00,59.00,56.00,2.00,3.00,2.00,5.00,2.50,14.50,6.50,22.00,228,241,1955,0,0,0,0
2026-07-09T02:19:00-05:00,1783581540,8142,1.0000,76.0000,11.2165,0.2229,0.3566,0.0892,66.40,0.1114,0.1337,2.7861,181.00,162.91,1.1110,4,3,999.00,166.00,999.00,218.00,3.00,1.00,19.00,40.00,6.00,7.00,2.00,16.00,451,292,1038,3,5,10,15
2026-07-09T08:52:00-05:00,1783605120,8533,1.0000,535.0000,31.5102,0.1031,0.4602,0.1269,64.82,0.1031,0.5792,1.8803,2207.00,2059.85,1.0714,3,1,999.00,339.00,999.00,339.00,1.00,1.00,5.00,3.00,3.00,18.00,3.00,5.50,776,630,1315,3,5,10,15
2026-07-09T14:35:00-05:00,1783625700,8827,1.0000,-227.0000,11.5689,0.9076,0.0864,0.0864,48.65,0.8644,1.2318,-1.5127,469.00,580.30,0.8082,3,4,34.00,77.00,120.00,77.00,1.00,1.00,12.00,5.00,6.00,0.50,5.00,6.00,259,12,1255,0,0,0,0
2026-07-09T17:27:00-05:00,1783636020,9003,0.0000,-54.0000,8.9327,0.0560,0.3079,0.3079,35.16,-0.2799,-0.9796,-2.9946,60.00,73.52,0.8161,3,6,141.00,13.00,193.00,4.00,3.00,0.00,9.00,10.00,4.00,0.00,2.00,0.50,9,334,1182,3,5,10,15
2026-07-09T18:22:00-05:00,1783639320,9059,1.0000,53.0000,6.8581,0.1823,0.2187,0.6562,60.78,0.0000,0.7291,1.6768,43.00,70.43,0.6106,1,3,999.00,55.00,60.00,5.00,1.00,0.00,1.00,2.00,10.50,11.50,5.00,1.50,123,201,1315,3,5,10,15
2026-07-09T19:17:00-05:00,1783642620,9108,0.0000,-220.0000,17.1389,0.1167,0.2626,0.4959,36.80,-0.3209,-0.3793,-1.8379,253.00,249.48,1.0141,1,3,130.00,52.00,226.00,52.00,1.00,0.00,7.00,4.00,10.50,1.00,2.50,1.50,89,490,1026,3,5,10,15
2026-07-09T21:11:00-05:00,1783649460,9189,0.0000,256.0000,10.8417,0.9224,0.3228,0.1153,44.26,-0.9915,-0.1845,-1.9139,63.00,82.91,0.7598,4,2,79.00,65.00,165.00,65.00,2.00,0.00,7.00,0.00,2.50,9.50,3.00,2.00,123,448,1068,0,0,0,0
2026-07-10T01:45:00-05:00,1783665900,9434,1.0000,-303.0000,10.5458,0.6875,0.0000,0.0474,57.29,0.6164,2.2047,0.3082,105.00,118.82,0.8837,2,3,40.00,135.00,40.00,184.00,2.00,0.00,32.00,0.00,8.50,1.50,8.00,2.50,82,569,68,0,0,0,0
2026-07-10T03:26:00-05:00,1783671960,9557,1.0000,-206.0000,10.8222,0.3234,0.2772,0.1617,47.03,-0.3003,0.4851,-1.2474,89.00,112.15,0.7936,3,2,40.00,73.00,120.00,120.00,6.00,0.00,6.00,6.00,3.50,3.50,28.50,11.00,272,759,122,0,0,0,0
2026-07-10T06:15:00-05:00,1783682100,9764,1.0000,78.0000,7.4662,0.8706,0.1005,0.0335,68.13,0.9710,2.0425,3.5159,177.00,110.84,1.5969,3,1,999.00,79.00,999.00,188.00,1.00,1.00,6.00,1.00,1.50,10.50,2.00,3.00,8,327,310,3,5,10,13
